Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 68.80     35.96    35.96 196585448     0.00     0.00  mypt::AABB::intersect(mypt::Ray const&, double, double) const
 11.39     41.92     5.96 72609687     0.00     0.00  mypt::ShapePrimitive::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  9.19     46.72     4.81   377753     0.00     0.00  mypt::BVH::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  7.38     50.58     3.86 69281522     0.00     0.00  mypt::Triangle::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  0.52     50.85     0.27     9186     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.47     51.10     0.25   109001     0.00     0.00  mypt::ShapePrimitive::random(mypt::type3<double> const&) const
  0.35     51.28     0.19     6124     0.00     0.00  mypt::BVH::bounding() const
  0.29     51.43     0.15  4811370     0.00     0.00  mypt::box_x_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.19     51.53     0.10  4241593     0.00     0.00  mypt::box_z_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.17     51.62     0.09  1280921     0.00     0.00  mypt::Plane::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
