Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 77.78     39.79    39.79 357743511     0.00     0.00  mypt::AABB::intersect(mypt::Ray const&, double, double) const
  7.61     43.68     3.89 125597410     0.00     0.00  mypt::Triangle::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  7.01     47.26     3.59 128623270     0.00     0.00  mypt::ShapePrimitive::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  5.62     50.14     2.88   818631     0.00     0.06  mypt::BVHNode::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  0.38     50.33     0.20   242689     0.00     0.00  mypt::ShapePrimitive::random(mypt::type3<double> const&) const
  0.26     50.47     0.14     6124     0.02     0.02  mypt::BVHNode::bounding() const
  0.20     50.57     0.10     9186     0.01     0.03  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.18     50.66     0.09  3098327     0.00     0.00  mypt::Plane::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  0.17     50.74     0.09  4811370     0.00     0.00  mypt::box_x_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.14     50.81     0.07        1    70.00   510.02  mypt::BVHNode::BVHNode(std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, int, int, int, mypt::BVHNode::SplitMethod)
  0.12     50.87     0.06                             mypt::Sphere::to_string[abi:cxx11]() const
  0.08     50.91     0.04  4241593     0.00     0.00  mypt::box_z_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.04     50.93     0.02 28028034     0.00     0.00  mypt::ShapePrimitive::bounding() const
  0.04     50.95     0.02  3746543     0.00     0.00  mypt::box_y_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.04     50.97     0.02  2429021     0.00     0.00  mypt::surrounding(mypt::AABB, mypt::AABB)
  0.04     50.99     0.02  1207386     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.04     51.01     0.02   487382     0.00     0.00  mypt::ShapePrimitive::pdf_value(mypt::type3<double> const&, mypt::type3<double> const&) const
  0.04     51.03     0.02   487382     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::LightPDF, std::allocator<mypt::LightPDF>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.04     51.05     0.02   262144     0.00     0.19  mypt::Integrator::trace(mypt::Ray&, mypt::BVHNode const&, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, mypt::type3<double> const&, int) const
  0.04     51.07     0.02        1    20.00    20.00  stbi_zlib_compress
  0.02     51.08     0.01   487382     0.00     0.00  mypt::Lambertian::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.02     51.09     0.01   487382     0.00     0.00  mypt::CosinePDF::value(mypt::type3<double> const&) const
  0.02     51.10     0.01   244693     0.00     0.00  mypt::CosinePDF::generate() const
  0.02     51.11     0.01       15     0.67     0.67  void std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >::_M_realloc_insert<std::shared_ptr<mypt::ShapePrimitive> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, std::shared_ptr<mypt::ShapePrimitive>&&)
  0.02     51.12     0.01        2     5.00     5.00  void std::vector<mypt::Transform, std::allocator<mypt::Transform> >::_M_realloc_insert<mypt::Transform>(__gnu_cxx::__normal_iterator<mypt::Transform*, std::vector<mypt::Transform, std::allocator<mypt::Transform> > >, mypt::Transform&&)
  0.02     51.13     0.01        1    10.00    10.00  mypt::TriangleMesh::TriangleMesh(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, float, mypt::type3<double>, bool)
  0.02     51.14     0.01        1    10.00    20.00  mypt::createTriangleMesh(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, float, mypt::type3<double>, bool)
  0.01     51.15     0.01                             mypt::Scene::~Scene()
  0.01     51.15     0.01                             std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00     51.15     0.00   501946     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.00     51.15     0.00   487382     0.00     0.00  mypt::Lambertian::scattering_pdf(mypt::Ray const&, mypt::HitRecord const&, mypt::Ray const&) const
  0.00     51.15     0.00   487382     0.00     0.00  mypt::Plane::pdf_value(mypt::type3<double> const&, mypt::type3<double> const&) const
  0.00     51.15     0.00   487382     0.00     0.00  mypt::LightPDF::value(mypt::type3<double> const&) const
  0.00     51.15     0.00   487382     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::LightPDF, std::allocator<mypt::LightPDF>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.15     0.00   487382     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::CosinePDF, std::allocator<mypt::CosinePDF>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.15     0.00   487382     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::CosinePDF, std::allocator<mypt::CosinePDF>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.15     0.00   414915     0.00     0.00  mypt::Sphere::intersect(mypt::Ray const&, double, double, mypt::HitRecord&) const
  0.00     51.15     0.00   262144     0.00     0.00  mypt::Camera::get_ray(double, double)
  0.00     51.15     0.00   242689     0.00     0.00  mypt::Plane::random(mypt::type3<double> const&) const
  0.00     51.15     0.00   242689     0.00     0.00  mypt::LightPDF::generate() const
  0.00     51.15     0.00   238464     0.00     0.00  mypt::Triangle::bounding() const
  0.00     51.15     0.00   186623     0.00     0.00  mypt::Emitter::emitted(mypt::Ray const&, mypt::HitRecord const&, double, double, mypt::type3<double> const&) const
  0.00     51.15     0.00   186623     0.00     0.00  mypt::Emitter::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.00     51.15     0.00    47366     0.00     0.00  mypt::Dielectric::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.00     51.15     0.00    44300     0.00     0.00  mypt::refract(mypt::type3<double> const&, mypt::type3<double> const&, double)
  0.00     51.15     0.00    27540     0.00     0.00  mypt::reflect(mypt::type3<double> const&, mypt::type3<double> const&)
  0.00     51.15     0.00    24474     0.00     0.00  mypt::Metal::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.00     51.15     0.00    14904     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00     51.15     0.00     9186     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.00     51.15     0.00     6124     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::BVHNode, std::allocator<mypt::BVHNode>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
