Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 76.95     39.45    39.45 354631717     0.00     0.00  mypt::AABB::intersect(mypt::Ray const&, Float, Float) const
  8.41     43.76     4.31 123779572     0.00     0.00  mypt::Triangle::intersect(mypt::Ray const&, Float, Float, mypt::HitRecord&) const
  6.87     47.28     3.52 126797318     0.00     0.00  mypt::ShapePrimitive::intersect(mypt::Ray const&, Float, Float, mypt::HitRecord&) const
  5.70     50.20     2.92   817091     0.00     0.06  mypt::BVHNode::intersect(mypt::Ray const&, Float, Float, mypt::HitRecord&) const
  0.39     50.40     0.20   242286     0.00     0.00  mypt::ShapePrimitive::random(mypt::type3<Float> const&) const
  0.29     50.55     0.15  3089679     0.00     0.00  mypt::Plane::intersect(mypt::Ray const&, Float, Float, mypt::HitRecord&) const
  0.25     50.68     0.13     6124     0.02     0.02  mypt::BVHNode::bounding() const
  0.18     50.77     0.09                             mypt::Sphere::to_string[abi:cxx11]() const
  0.12     50.83     0.06     9186     0.01     0.02  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.10     50.88     0.05  4241593     0.00     0.00  mypt::box_z_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.10     50.93     0.05   485487     0.00     0.00  mypt::Lambertian::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.10     50.98     0.05        1    50.00   395.01  mypt::BVHNode::BVHNode(std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, int, int, int, mypt::BVHNode::SplitMethod)
  0.08     51.02     0.04  4811370     0.00     0.00  mypt::box_x_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.08     51.06     0.04        1    40.00    40.00  stbi_zlib_compress
  0.07     51.10     0.04 28028034     0.00     0.00  mypt::ShapePrimitive::bounding() const
  0.07     51.13     0.04        2    17.50    17.50  void std::vector<mypt::Transform, std::allocator<mypt::Transform> >::_M_realloc_insert<mypt::Transform>(__gnu_cxx::__normal_iterator<mypt::Transform*, std::vector<mypt::Transform, std::allocator<mypt::Transform> > >, mypt::Transform&&)
  0.06     51.16     0.03   262144     0.00     0.19  mypt::Integrator::trace(mypt::Ray&, mypt::BVHNode const&, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >&, mypt::type3<Float> const&, int) const
  0.04     51.18     0.02  1207386     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.04     51.20     0.02   485487     0.00     0.00  mypt::CosinePDF::value(mypt::type3<Float> const&) const
  0.04     51.22     0.02   243201     0.00     0.00  mypt::CosinePDF::generate() const
  0.02     51.23     0.01  3746543     0.00     0.00  mypt::box_y_compare(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)
  0.02     51.24     0.01   485487     0.00     0.00  mypt::Plane::pdf_value(mypt::type3<Float> const&, mypt::type3<Float> const&) const
  0.02     51.25     0.01   242286     0.00     0.00  mypt::Plane::random(mypt::type3<Float> const&) const
  0.02     51.26     0.01    44402     0.00     0.00  mypt::refract(mypt::type3<Float> const&, mypt::type3<Float> const&, Float)
  0.02     51.27     0.01     4977     0.00     0.00  mypt::ShapePrimitive::ShapePrimitive(std::shared_ptr<mypt::Shape>, std::shared_ptr<mypt::Material>, std::shared_ptr<mypt::Transform>)
  0.00     51.27     0.00  2429021     0.00     0.00  mypt::surrounding(mypt::AABB, mypt::AABB)
  0.00     51.27     0.00   513494     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.00     51.27     0.00   485487     0.00     0.00  mypt::Lambertian::scattering_pdf(mypt::Ray const&, mypt::HitRecord const&, mypt::Ray const&) const
  0.00     51.27     0.00   485487     0.00     0.00  mypt::ShapePrimitive::pdf_value(mypt::type3<Float> const&, mypt::type3<Float> const&) const
  0.00     51.27     0.00   485487     0.00     0.00  mypt::LightPDF::value(mypt::type3<Float> const&) const
  0.00     51.27     0.00   485487     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::LightPDF, std::allocator<mypt::LightPDF>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.27     0.00   485487     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::LightPDF, std::allocator<mypt::LightPDF>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.27     0.00   485487     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::CosinePDF, std::allocator<mypt::CosinePDF>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.27     0.00   485487     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::CosinePDF, std::allocator<mypt::CosinePDF>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.27     0.00   413554     0.00     0.00  mypt::Sphere::intersect(mypt::Ray const&, Float, Float, mypt::HitRecord&) const
  0.00     51.27     0.00   262144     0.00     0.00  mypt::Camera::get_ray(Float, Float)
  0.00     51.27     0.00   242286     0.00     0.00  mypt::LightPDF::generate() const
  0.00     51.27     0.00   238464     0.00     0.00  mypt::Triangle::bounding() const
  0.00     51.27     0.00   186619     0.00     0.00  mypt::Emitter::emitted(mypt::Ray const&, mypt::HitRecord const&, Float, Float, mypt::type3<Float> const&) const
  0.00     51.27     0.00   186619     0.00     0.00  mypt::Emitter::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.00     51.27     0.00    47529     0.00     0.00  mypt::Dielectric::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.00     51.27     0.00    27687     0.00     0.00  mypt::reflect(mypt::type3<Float> const&, mypt::type3<Float> const&)
  0.00     51.27     0.00    24560     0.00     0.00  mypt::Metal::scatter(mypt::Ray const&, mypt::HitRecord&, mypt::ScatterRecord&) const
  0.00     51.27     0.00    14904     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00     51.27     0.00     9186     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(std::shared_ptr<mypt::Primitive>, std::shared_ptr<mypt::Primitive>)>)
  0.00     51.27     0.00     6124     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::BVHNode, std::allocator<mypt::BVHNode>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.27     0.00     4977     0.00     0.00  mypt::TransformSystem::getCurrentTransform()
  0.00     51.27     0.00     4977     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::ShapePrimitive, std::allocator<mypt::ShapePrimitive>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.27     0.00     4977     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::ShapePrimitive, std::allocator<mypt::ShapePrimitive>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.27     0.00     4977     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Transform, std::allocator<mypt::Transform>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.27     0.00     4977     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Transform, std::allocator<mypt::Transform>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.27     0.00     4968     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Triangle, std::allocator<mypt::Triangle>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     51.27     0.00     4968     0.00     0.00  std::_Sp_counted_ptr_inplace<mypt::Triangle, std::allocator<mypt::Triangle>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     51.27     0.00     3072     0.00     0.00  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  0.00     51.27     0.00      512     0.00     0.00  mypt::Scene::streamProgress(int, int, Float, int)
  0.00     51.27     0.00      336     0.00     0.00  mypt::Plane::bounding() const
  0.00     51.27     0.00       96     0.00     0.00  mypt::Sphere::bounding() const
  0.00     51.27     0.00       31     0.00     0.00  mypt::mat4::mat4(Float, Float, Float, Float, Float, Float, Float, Float, Float, Float, Float, Float, Float, Float, Float, Float)
  0.00     51.27     0.00       30     0.00     0.00  mypt::mat4::mat4()
  0.00     51.27     0.00       28     0.00     0.00  mypt::mat4::mat4(Float (*) [4])
  0.00     51.27     0.00       15     0.00     0.00  void std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > >::_M_realloc_insert<std::shared_ptr<mypt::ShapePrimitive> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Primitive>*, std::vector<std::shared_ptr<mypt::Primitive>, std::allocator<std::shared_ptr<mypt::Primitive> > > >, std::shared_ptr<mypt::ShapePrimitive>&&)
  0.00     51.27     0.00       14     0.00     0.00  void std::vector<mypt::type3<int>, std::allocator<mypt::type3<int> > >::_M_realloc_insert<mypt::type3<int>&>(__gnu_cxx::__normal_iterator<mypt::type3<int>*, std::vector<mypt::type3<int>, std::allocator<mypt::type3<int> > > >, mypt::type3<int>&)
  0.00     51.27     0.00       14     0.00     0.00  void std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > >::_M_realloc_insert<std::shared_ptr<mypt::Shape>&>(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Shape>*, std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > > >, std::shared_ptr<mypt::Shape>&)
  0.00     51.27     0.00       14     0.00     0.00  void std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > >::_M_realloc_insert<std::shared_ptr<mypt::Triangle> >(__gnu_cxx::__normal_iterator<std::shared_ptr<mypt::Shape>*, std::vector<std::shared_ptr<mypt::Shape>, std::allocator<std::shared_ptr<mypt::Shape> > > >, std::shared_ptr<mypt::Triangle>&&)
